nama_sekolah,npsn,bp,status,pd,guru,kecamatan,wilayah
SMAS PSKD 1 JAKARTA,20100490,SMA,Swasta,98,20,Senen,Kota Jakarta Pusat
SMAS GANDHI ANCOL,20100599,SMA,Swasta,331,18,Pademangan,Kota Jakarta Utara
SMAS KRISTEN YUSUF,20100603,SMA,Swasta,153,13,Penjaringan,Kota Jakarta Utara
SMA MAHATMA GADING,20100604,SMA,Swasta,85,21,Kelapa Gading,Kota Jakarta Utara
SMAS METHODIST JAKARTA,20100605,SMA,Swasta,231,15,Penjaringan,Kota Jakarta Utara
SMAS PERMAI JAKARTA,20100607,SMA,Swasta,354,24,Penjaringan,Kota Jakarta Utara
SMAS PUSAKA ABADI JAKARTA,20100610,SMA,Swasta,87,12,Penjaringan,Kota Jakarta Utara
SMA SAINT NICHOLAS,20100612,SMA,Swasta,79,16,Penjaringan,Kota Jakarta Utara
SMAS TARAKANITA 2,20100613,SMA,Swasta,351,25,Penjaringan,Kota Jakarta Utara
SMAS FONS VITAE 2 JAKARTA,20100614,SMA,Swasta,174,18,Koja,Kota Jakarta Utara
SMAS DON BOSCO 1 JAKARTA,20100616,SMA,Swasta,146,12,Kelapa Gading,Kota Jakarta Utara
SMAS BUDI AGUNG,20100628,SMA,Swasta,281,17,Penjaringan,Kota Jakarta Utara
SMAS BUNGA HATI BANGSA,20100629,SMA,Swasta,57,6,Penjaringan,Kota Jakarta Utara
SMAS DHARMA BUDHI BHAKTI JAKARTA,20100630,SMA,Swasta,75,11,Tanjung Priok,Kota Jakarta Utara
SMAS TUNAS GADING,20100632,SMA,Swasta,32,7,Kelapa Gading,Kota Jakarta Utara
SMAS TUNAS KARYA JAKARTA,20100778,SMA,Swasta,9,4,Kelapa Gading,Kota Jakarta Utara
SMAN 80 JAKARTA,20100780,SMA,Negeri,819,43,Tanjung Priok,Kota Jakarta Utara
SMAN 92 JAKARTA,20100782,SMA,Negeri,835,41,Cilincing,Kota Jakarta Utara
SMAN 73 JAKARTA,20100795,SMA,Negeri,699,37,Cilincing,Kota Jakarta Utara
SMAN 52 JAKARTA,20100797,SMA,Negeri,892,49,Cilincing,Kota Jakarta Utara
SMAS SANTO YAKOBUS JAKARTA,20100799,SMA,Swasta,399,32,Kelapa Gading,Kota Jakarta Utara
SMAS YUSHA JAKARTA,20100801,SMA,Swasta,116,13,Koja,Kota Jakarta Utara
SMAN 111 JAKARTA,20100803,SMA,Negeri,550,27,Penjaringan,Kota Jakarta Utara
SMAN 115 JAKARTA,20100805,SMA,Negeri,579,33,Cilincing,Kota Jakarta Utara
SMAN 15 JAKARTA,20100807,SMA,Negeri,670,38,Tanjung Priok,Kota Jakarta Utara
SMAN 40 JAKARTA,20100810,SMA,Negeri,739,37,Pademangan,Kota Jakarta Utara
SMAN 41 JAKARTA,20100811,SMA,Negeri,702,32,Tanjung Priok,Kota Jakarta Utara
SMAN 45 JAKARTA,20100812,SMA,Negeri,885,48,Kelapa Gading,Kota Jakarta Utara
SMAS 1 BARUNAWATI,20101173,SMA,Swasta,403,18,Palmerah,Kota Jakarta Barat
SMAS REGINA PACIS,20101301,SMA,Swasta,219,20,Palmerah,Kota Jakarta Barat
SMAS KRISTEN ALMASIH,20101304,SMA,Swasta,32,8,Grogol Petamburan,Kota Jakarta Barat
SMAS 4 KRISTEN PENABUR,20101305,SMA,Swasta,384,31,Kebon Jeruk,Kota Jakarta Barat
SMAS 1 KRISTEN BPK PENABUR,20101306,SMA,Swasta,934,59,Grogol Petamburan,Kota Jakarta Barat
SMAS 2 KEMURNIAN,20101307,SMA,Swasta,221,24,Kebon Jeruk,Kota Jakarta Barat
SMAS KATOLIK RICCI,20101311,SMA,Swasta,222,25,Taman Sari,Kota Jakarta Barat
SMA LAMAHOLOT,20101314,SMA,Swasta,60,5,Cengkareng,Kota Jakarta Barat
SMAS PROVIDENTIA,20101318,SMA,Swasta,126,15,Kebon Jeruk,Kota Jakarta Barat
SMAS PELITA 2,20101322,SMA,Swasta,160,14,Kebon Jeruk,Kota Jakarta Barat
SMAS PADINDI,20101323,SMA,Swasta,72,4,Kali Deres,Kota Jakarta Barat
SMAS NOTRE DAME,20101324,SMA,Swasta,230,22,Kembangan,Kota Jakarta Barat
SMAS MUHAMMADIYAH 13 JAKARTA,20101326,SMA,Swasta,161,13,Grogol Petamburan,Kota Jakarta Barat
